Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Train Time (s)
XGBoost,0.9795555555555555,0.9510869565217391,0.9259259259259259,0.938337801608579,0.9867159589381811,0.3
LightGBM,0.9795555555555555,0.9611111111111111,0.9153439153439153,0.9376693766937669,0.9912664495997829,0.95
Extra Trees,0.9715555555555555,0.9644970414201184,0.8624338624338624,0.9106145251396648,0.9956671415004749,0.13
Random Forest,0.9653333333333334,0.9411764705882353,0.8465608465608465,0.8913649025069638,0.9913031926920816,0.19
Decision Tree,0.936,0.806282722513089,0.8148148148148148,0.8105263157894737,0.8876424501424502,0.03
SVM (RBF),0.9182222222222223,0.7046413502109705,0.8835978835978836,0.784037558685446,0.9607866413421968,1.63
K-Nearest Neighbors,0.8853333333333333,0.5980392156862745,0.9682539682539683,0.7393939393939394,0.9756902048568714,0.0
Gradient Boosting,0.9022222222222223,0.6945812807881774,0.746031746031746,0.7193877551020408,0.9260220232442454,0.81
AdaBoost,0.88,0.6261682242990654,0.708994708994709,0.6650124069478908,0.9063616424727535,0.7
Logistic Regression,0.8248888888888889,0.48717948717948717,0.8042328042328042,0.6067864271457086,0.8942138108804775,0.02
Naive Bayes,0.6755555555555556,0.324,0.8571428571428571,0.4702467343976778,0.843101343101343,0.0
